PLAYER_NAME,TeamWinning,TeamWins,TeamTotal
James Michael McAdoo,0.674528302,69,212
Kevon Looney,0.642276423,88,246
Patrick McCaw,0.616326531,94,245
Demetrius Jackson,0.614457831,96,249
Fred VanVleet,0.614213198,76,197
Pascal Siakam,0.614213198,76,197
Damian Jones,0.613402062,75,194
Draymond Green,0.610421836,157,403
Juwan Howard,0.6,80,200
Malcolm Miller,0.595854922,78,193
Norman Powell,0.592,102,250
Klay Thompson,0.588100686,180,437
Kawhi Leonard,0.585034014,183,441
Jaylen Brown,0.58,84,200
Kevin Durant,0.57962963,227,540
Matt Bonner,0.576023392,145,342
Tim Duncan,0.576023392,145,342
Ray Allen,0.567049808,113,261
LeBron James,0.565062389,244,561
Danny Green,0.564846416,255,586
James Jones,0.562801932,181,414
Manu Ginobili,0.561363636,193,440
Jason Kidd,0.560209424,84,191
Andre Iguodala,0.55985267,239,543
Festus Ezeli,0.55984556,114,259
Clint Capela,0.557432432,131,296
Matt Barnes,0.549883991,194,431
Dexter Pittman,0.54674221,160,353
Serge Ibaka,0.545454545,265,583
Tony Parker,0.542443064,221,483
James Harden,0.542024014,267,583
Marcus Smart,0.54109589,134,292
Shawn Marion,0.540636042,130,283
Georges Niang,0.537931034,134,290
Ronnie Brewer,0.536842105,176,380
Cory Joseph,0.53440367,203,436
Lucas Nogueira,0.532663317,93,199
Derek Fisher,0.532110092,153,327
Thabo Sefolosha,0.531598513,252,538
Danuel House Jr.,0.530612245,138,294
Patrick Beverley,0.530373832,201,428
Montrezl Harrell,0.528634361,107,227
DeJuan Blair,0.526785714,159,336
Kyle Weaver,0.525252525,94,198
Tiago Splitter,0.524547804,184,387
Delon Wright,0.523809524,140,294
Stephen Curry,0.522641509,253,530
Patty Mills,0.521821632,252,527
Aron Baynes,0.520833333,184,384
Nick Collison,0.520833333,207,432
Pat Connaughton,0.520833333,115,240
Kendrick Perkins,0.519920319,241,502
Jeff Ayres,0.519402985,161,335
Chris Paul,0.519305019,249,518
Russell Westbrook,0.519083969,252,524
Daequan Cook,0.519031142,139,289
Kyle Lowry,0.518664047,245,509
David West,0.518099548,213,442
Xavier Silas,0.514403292,118,243
Chris Bosh,0.514066496,190,391
Shane Battier,0.513605442,143,294
Terry Rozier,0.512820513,114,234
Mike Miller,0.512690355,192,394
Perry Jones III,0.5125,117,240
Udonis Haslem,0.508411215,263,535
Marquis Daniels,0.507537688,98,199
Anderson Varejao,0.505854801,211,427
Quinn Cook,0.504398827,169,341
Isaiah Taylor,0.504347826,114,230
Dwyane Wade,0.503703704,268,540
Andre Roberson,0.503067485,162,326
Steven Adams,0.503067485,162,326
Carlos Boozer,0.5,138,276
RJ Hunter,0.5,144,288
JJ Redick,0.499108734,281,561
Tony Allen,0.498866213,221,441
Shaun Livingston,0.498417722,317,632
Joe Ingles,0.496969697,166,330
Rodney McGruder,0.496376812,139,276
Gerald Green,0.496124031,260,516
Dwight Howard,0.49609375,258,512
Andrew Bogut,0.495327103,270,535
Joel Anthony,0.494402985,271,536
Andrew Bynum,0.493670886,120,237
Kyle Korver,0.492845787,319,629
Edy Tavares,0.492682927,104,205
Eric Griffin,0.492462312,101,199
Boban Marjanovic,0.490506329,161,316
Shannon Brown,0.490463215,187,367
Nazr Mohammed,0.489637306,197,386
Mario Chalmers,0.48630137,225,438
Rashard Lewis,0.486111111,148,288
Jonas Valanciunas,0.485915493,219,426
Boris Diaw,0.485714286,216,420
Jonathon Simmons,0.485355649,123,239
Chris Andersen,0.485193622,226,439
DeShawn Stevenson,0.484848485,119,231
Jae Crowder,0.484210526,245,475
Dante Exum,0.483870968,144,279
C.J. Wilcox,0.483636364,142,275
Paul Pierce,0.48346056,203,393
James Young,0.483333333,124,240
George Hill,0.481540931,323,623
Josh Powell,0.481375358,181,349
Markel Brown,0.481171548,124,239
Mickael Pietrus,0.47826087,120,230
Pablo Prigioni,0.4778157,153,293
Steve Novak,0.475763016,292,557
Marcin Gortat,0.475675676,291,555
Jason Terry,0.475638051,226,431
Ian Clark,0.475073314,179,341
Nene,0.474910394,293,558
Kyle Anderson,0.474820144,146,278
Mickell Gladness,0.473913043,121,230
Eric Maynor,0.47382199,201,382
Briante Weber,0.473809524,221,420
Rajon Rondo,0.473591549,299,568
Norris Cole,0.472891566,175,332
Al Horford,0.472795497,281,533
Richard Jefferson,0.472275335,276,523
Jarell Eddie,0.471794872,206,390
Jamal Murray,0.471502591,102,193
Juancho Hernangomez,0.471502591,102,193
Malik Beasley,0.471502591,102,193
Leandro Barbosa,0.471014493,219,414
Jimmy Butler,0.470715835,244,461
Kyrie Irving,0.470167064,222,419
Marreese Speights,0.470134875,275,519
Malachi Richardson,0.46875,102,192
Pau Gasol,0.468694097,297,559
Bobby Brown,0.468421053,101,190
Josh Huestis,0.468421053,101,190
Tony Snell,0.465753425,195,365
Marc Gasol,0.465364121,301,563
DeAndre Liggins,0.464788732,228,426
Ryan Anderson,0.462929476,297,553
Joe Johnson,0.462633452,302,562
David Lee,0.462441315,229,426
Zaza Pachulia,0.462343096,257,478
Mike Scott,0.460465116,232,430
Patrick Patterson,0.459558824,294,544
Shavlik Randolph,0.459102902,205,379
Daniel Orton,0.458874459,125,231
Caron Butler,0.458628842,229,423
Royal Ivey,0.458579882,183,338
Jason Kapono,0.457894737,103,190
Bruno Caboclo,0.457446809,204,376
Taj Gibson,0.457407407,293,540
Troy Williams,0.457142857,152,280
Raul Neto,0.456896552,126,232
Jarnell Stokes,0.456066946,130,239
Brendan Haywood,0.455830389,154,283
Kay Felder,0.455645161,135,248
Paul Millsap,0.455238095,286,525
Terrence Jones,0.45508982,182,334
Kurt Thomas,0.455026455,103,189
Jamal Crawford,0.454935622,254,466
Julyan Stone,0.454873646,151,277
Avery Bradley,0.454710145,301,552
James Anderson,0.45398773,178,326
Justise Winslow,0.453781513,130,238
Gordon Hayward,0.453362256,252,461
Dennis Schroder,0.453172205,181,331
JaMychal Green,0.453012048,227,415
Josh Childress,0.452830189,145,265
Mike James,0.452830189,145,265
Kyrylo Fesenko,0.452173913,126,230
Paul George,0.452025586,257,469
Jordan Hamilton,0.452012384,177,323
Nikola Jokic,0.451882845,131,239
Nikola Mirotic,0.451219512,180,328
P.J. Tucker,0.451073986,230,419
Marcus Georges-Hunt,0.45106383,129,235
Austin Rivers,0.45021645,254,462
Earl Clark,0.449877751,225,409
Austin Daye,0.449367089,261,474
Derrick Rose,0.448897796,275,499
Dionte Christmas,0.448763251,156,283
Iman Shumpert,0.447735192,317,574
LaMarcus Aldridge,0.447731755,280,507
Harrison Barnes,0.447552448,237,429
PJ Hairston,0.447368421,105,190
Jermaine O'Neal,0.446808511,130,235
Glen Davis,0.446428571,186,336
Andre Miller,0.446351931,258,466
Myles Turner,0.445887446,128,231
Trey Lyles,0.445887446,128,231
Jeremy Lamb,0.445783133,230,415
Landry Fields,0.445454545,122,220
Quentin Richardson,0.445414847,127,229
Josh Smith,0.444915254,262,472
Pops Mensah-Bonsu,0.444444444,105,189
Mike Muscala,0.444148936,209,376
Matthew Dellavedova,0.444141689,204,367
Kenyon Martin,0.444055944,159,286
CJ McCollum,0.443786982,188,338
Willie Green,0.443636364,153,275
Dion Waiters,0.443127962,235,422
Rudy Gobert,0.443076923,181,325
David Stockton,0.442060086,130,233
Hedo Turkoglu,0.440625,179,320
C.J. Watson,0.440540541,207,370
Thon Maker,0.44,126,225
Luke Walton,0.439814815,121,216
Ian Mahinmi,0.439770554,293,523
Meyers Leonard,0.439588689,218,389
Luol Deng,0.439516129,278,496
Amar'e Stoudemire,0.439473684,213,380
Rodney Carney,0.439393939,111,198
Henry Walker,0.438596491,128,228
Jeff Green,0.438110749,345,614
Dirk Nowitzki,0.437636761,257,457
Eric Bledsoe,0.4375,279,496
Gary Payton II,0.437275986,157,279
Zach Randolph,0.437100213,264,469
Trevor Ariza,0.436823105,312,554
Kelly Olynyk,0.436746988,187,332
Ivica Zubac,0.436619718,120,213
Greg Smith,0.436363636,124,220
Raymond Felton,0.436149312,287,509
Larry Drew II,0.43554007,162,287
Jared Dudley,0.435129741,283,501
Nate Robinson,0.43487395,269,476
Giannis Antetokounmpo,0.434250765,185,327
Amir Johnson,0.433920705,257,454
Donatas Motiejunas,0.433566434,162,286
Kirk Hinrich,0.433333333,238,420
Goran Dragic,0.432937182,334,589
Renaldo Balkman,0.432900433,131,231
JR Smith,0.432835821,304,536
Steve Blake,0.432762836,232,409
Joe Harris,0.432142857,159,280
Luc Mbah a Moute,0.432,284,500
Mason Plumlee,0.431876607,221,389
Jack Cooley,0.431578947,108,190
DeMarre Carroll,0.431208054,339,596
Hasheem Thabeet,0.430985915,202,355
Blake Griffin,0.430167598,306,537
Tyler Hansbrough,0.429878049,187,328
Reggie Jackson,0.429844098,256,449
Drew Gooden,0.429752066,207,363
Jarron Collins,0.429319372,109,191
Channing Frye,0.429133858,290,508
Vince Carter,0.428571429,308,539
Mike Conley,0.428290766,291,509
Sam Young,0.427947598,131,229
Rodney Hood,0.427821522,218,381
Joakim Noah,0.427710843,285,498
Robin Lopez,0.427419355,284,496
Omer Asik,0.427312775,260,454
Malcolm Thomas,0.426791277,184,321
Troy Daniels,0.426540284,242,422
Othyus Jeffers,0.426426426,191,333
Stephen Jackson,0.426332288,183,319
Kevin Garnett,0.425974026,221,385
Gary Neal,0.425837321,240,418
Brandon Rush,0.424892704,268,466
Terrence Ross,0.424821002,241,419
Damion James,0.424148607,186,323
James Johnson,0.424092409,349,606
Sasha Vujacic,0.424028269,163,283
Dorell Wright,0.423913043,212,368
KJ McDaniels,0.423423423,192,333
Keith Benson,0.423255814,124,215
Damian Lillard,0.422976501,221,383
DeMar DeRozan,0.422845691,288,499
Mike Dunleavy,0.422705314,239,414
Andrei Kirilenko,0.422594142,138,239
Lou Williams,0.422222222,312,540
Jarvis Varnado,0.422145329,167,289
Tyler Zeller,0.42209073,293,507
John Lucas III,0.42206235,241,417
DeAndre Jordan,0.421933086,311,538
Will Barton,0.421911422,248,429
Josh Richardson,0.42173913,133,230
Brandon Bass,0.421195652,213,368
JaVale McGee,0.42114094,345,596
Marcus Morris Sr.,0.420454545,255,440
Kentavious Caldwell-Pope,0.420382166,182,314
Sasha Pavlovic,0.420138889,167,288
Stanley Johnson,0.420074349,156,269
Marco Belinelli,0.419708029,318,548
Gary Harris,0.41958042,166,286
Cameron Payne,0.41955836,184,317
Reggie Bullock,0.419354839,234,403
Solomon Hill,0.418960245,190,327
Chauncey Billups,0.418772563,161,277
Seth Curry,0.418655098,268,461
Mirza Teletovic,0.418439716,164,282
Axel Toupane,0.417721519,138,237
Dwayne Jones,0.417355372,141,242
Dahntay Jones,0.417021277,274,470
Kent Bazemore,0.416861827,249,427
Antonius Cleveland,0.416666667,133,228
Alan Anderson,0.415730337,156,267
Garrett Temple,0.415654521,433,741
John Holland,0.415384615,114,195
DJ White,0.41509434,186,318
Tyler Johnson,0.414790997,182,311
Shabazz Napier,0.414448669,154,263
Deron Williams,0.41416309,273,466
Danilo Gallinari,0.414048059,317,541
J.J. Barea,0.414048059,317,541
Kenneth Faried,0.414043584,242,413
Cole Aldrich,0.412915851,300,511
Jared Cunningham,0.412587413,168,286
Darius Morris,0.412568306,215,366
Dario Saric,0.412556054,131,223
Toure' Murry,0.412017167,137,233
Mike Bibby,0.411764706,140,238
Chris Johnson,0.411338963,488,829
Khris Middleton,0.411290323,219,372
Eric Gordon,0.411177645,295,501
Jameer Nelson,0.411073826,351,596
Toney Douglas,0.411032028,331,562
Marquis Teague,0.411016949,139,236
Jeff Teague,0.410958904,301,511
Darnell Jackson,0.410526316,112,190
Nick Johnson,0.410526316,112,190
Corey Brewer,0.409769335,435,737
Danny Granger,0.409381663,277,469
Rasual Butler,0.409090909,221,374
Otto Porter Jr.,0.408839779,214,362
Ersan Ilyasova,0.407569141,407,687
Chuck Hayes,0.4075,237,400
Kosta Koufos,0.407480315,301,508
Brandan Wright,0.40733945,323,545
Lou Amundson,0.407284768,358,604
Roger Mason Jr.,0.406926407,137,231
Wilson Chandler,0.406779661,350,590
Timofey Mozgov,0.40625,304,512
Hassan Whiteside,0.405940594,240,404
Darren Collison,0.405701754,271,456
CJ Miles,0.405504587,324,545
Anthony Davis,0.405405405,220,370
Darius Miller,0.405109489,163,274
Isaiah Canaan,0.404296875,305,512
Jusuf Nurkic,0.404255319,196,329
Aaron Brooks,0.403960396,301,505
DeMarcus Cousins,0.403614458,297,498
Kevin Martin,0.403587444,266,446
Jared Sullinger,0.403433476,139,233
Doug McDermott,0.402777778,215,360
Martell Webster,0.402515723,190,318
Lance Stephenson,0.402504472,334,559
Chris Copeland,0.402489627,144,241
Nicolas Batum,0.402040816,293,490
Tracy McGrady,0.401785714,134,224
Wesley Matthews,0.401734104,414,692
Quincy Pondexter,0.401606426,298,498
Evan Turner,0.401590457,301,503
Jon Leuer,0.401477833,243,406
Carmelo Anthony,0.401446655,331,553
Elijah Millsap,0.401433692,167,279
Tristan Thompson,0.401360544,264,441
Tarik Black,0.400881057,136,227
Hamed Haddadi,0.400862069,139,232
Ed Davis,0.400801603,299,499
Eric Moreland,0.400735294,163,272
Tyson Chandler,0.400728597,329,549
Xavier Henry,0.400651466,184,307
Emeka Okafor,0.400621118,193,322
Frank Kaminsky,0.4,132,220
Antawn Jamison,0.399253731,161,268
Bryce Cotton,0.399122807,137,228
Allen Crabbe,0.398753894,193,321
Ty Lawson,0.398706897,279,464
Keith Bogans,0.398523985,163,271
Mo Williams,0.398081535,251,417
Kyle Singler,0.397515528,194,322
Isaiah Thomas,0.397205589,302,501
Derrick Favors,0.397177419,299,496
Shane Larkin,0.396825397,114,189
Jeff Withey,0.395652174,139,230
Jonas Jerebko,0.39484127,305,504
Jodie Meeks,0.394545455,333,550
Metta World Peace,0.394230769,189,312
Lazar Hayward,0.39380531,137,226
Al-Farouq Aminu,0.393478261,279,460
Enes Kanter,0.393213573,304,501
Dwight Powell,0.393081761,193,318
Bradley Beal,0.393048128,227,374
Tyler Ulis,0.392857143,136,224
Shabazz Muhammad,0.392523364,195,321
Marcus Camby,0.392307692,158,260
Peja Stojakovic,0.391752577,118,194
Jordan Farmar,0.391719745,191,314
Greg Monroe,0.391596639,362,595
Kris Humphries,0.391224863,333,547
Rudy Gay,0.39049236,359,589
Markieff Morris,0.39039666,292,479
Anthony Carter,0.390350877,139,228
Tyler Ennis,0.390334572,164,269
Joel Przybilla,0.389140271,135,221
Timothe Luwawu-Cabarrot,0.388888889,154,252
Sam Dekker,0.388392857,137,224
Lester Hudson,0.388012618,194,317
Earl Watson,0.387387387,136,222
Jerryd Bayless,0.386996904,396,646
Al Harrington,0.386666667,138,225
James Ennis III,0.386462882,281,458
Michael Beasley,0.386317907,305,497
Greg Stiemsma,0.386029412,167,272
Kelly Oubre Jr.,0.38576779,164,267
Dante Cunningham,0.384758364,331,538
Bojan Bogdanovic,0.384615385,200,325
Anthony Morrow,0.384305835,306,497
James Nunnally,0.384279476,141,229
Beno Udrih,0.384094755,364,591
Cody Zeller,0.383870968,191,310
Jason Collins,0.383802817,175,284
Luis Scola,0.383561644,225,365
Ekpe Udoh,0.383522727,217,352
Nate Wolters,0.382978723,145,235
Treveon Graham,0.382488479,134,217
Lorenzo Brown,0.381263617,284,459
Ricky Rubio,0.380462725,241,389
D.J. Augustin,0.38028169,396,639
Rondae Hollis-Jefferson,0.380090498,137,221
Monta Ellis,0.38,248,400
Derrick Jones Jr.,0.379912664,142,229
Darrell Arthur,0.379609544,286,461
Jrue Holiday,0.379032258,308,496
Samuel Dalembert,0.378980892,195,314
Victor Oladipo,0.378980892,195,314
T.J. McConnell,0.378854626,141,227
Tayshaun Prince,0.378854626,282,454
John Henson,0.378830084,223,359
Reggie Williams,0.378757515,310,499
Johnny O'Bryant III,0.378571429,174,280
Kobe Bryant,0.377850163,191,307
Jeremy Tyler,0.377777778,168,270
AJ Price,0.37704918,228,366
Chandler Parsons,0.376590331,245,393
Brook Lopez,0.376518219,308,494
Miles Plumlee,0.376367615,285,457
Roy Hibbert,0.376344086,290,465
Alexis Ajinca,0.376190476,262,420
Ray McCallum,0.375912409,171,274
Elliot Williams,0.375690608,339,543
Jared Jeffries,0.375478927,163,261
Justin Hamilton,0.375,175,280
Ryan Hollins,0.375,250,400
Steve Nash,0.375,160,256
DJ Stephens,0.374468085,147,235
Skal Labissiere,0.373913043,144,230
Maurice Harkless,0.373655914,233,372
Marvin Williams,0.373225152,309,493
Tony Mitchell,0.373088685,205,327
Jason Richardson,0.372990354,195,311
Shelvin Mack,0.372727273,345,550
Donald Sloan,0.372413793,273,435
Orlando Johnson,0.372413793,182,290
Kevin Love,0.3722334,312,497
Marcus Landry,0.372180451,167,266
Derrick Williams,0.372151899,248,395
Anthony Tolliver,0.371610845,394,627
Willie Reed,0.37150838,225,358
E'Twaun Moore,0.371007371,256,407
Hilton Armstrong,0.370919881,212,337
Al Jefferson,0.370731707,258,410
Jeremy Lin,0.37037037,306,486
Jason Smith,0.36996337,344,546
Spencer Dinwiddie,0.36977492,196,311
Emmanuel Mudiay,0.369402985,169,268
Brandon Jennings,0.369261477,316,501
Tim Hardaway Jr.,0.369146006,229,363
Lavoy Allen,0.368852459,231,366
Spencer Hawes,0.36761488,289,457
Tim Frazier,0.367032967,288,455
Wade Baldwin IV,0.366812227,145,229
Jermaine Taylor,0.366515837,140,221
Justin Holiday,0.366482505,344,543
Alec Burks,0.366459627,306,483
Larry Sanders,0.366300366,173,273
Earl Barron,0.36622807,289,456
Aaron Gray,0.363380282,226,355
Michael Carter-Williams,0.363238512,291,457
Jorge Gutierrez,0.362676056,181,284
Phil Pressey,0.362676056,181,284
Byron Mullens,0.362637363,174,273
Robert Covington,0.362530414,262,411
Greivis Vasquez,0.362025316,252,395
Nemanja Bjelica,0.36199095,141,221
Kemba Walker,0.36159601,256,401
Chris Wright,0.361563518,196,307
Wesley Johnson,0.361522199,302,473
Diante Garrett,0.361256545,122,191
Tobias Harris,0.360770578,365,571
Marcus Thornton,0.360507246,353,552
Reggie Evans,0.359621451,203,317
Courtney Lee,0.35942492,401,626
Jordan Hill,0.35915493,273,426
Mike Harris,0.358974359,175,273
Chris Douglas-Roberts,0.358695652,236,368
Francisco Garcia,0.357594937,203,316
Brian Roberts,0.356890459,182,283
Joffrey Lauvergne,0.356521739,148,230
Damien Wilkins,0.356265356,262,407
Gerald Wallace,0.355685131,221,343
Omri Casspi,0.355263158,343,532
Trevor Booker,0.354767184,291,451
John Wall,0.354625551,293,454
Jason Thompson,0.354223433,237,367
Elton Brand,0.354054054,239,370
John Salmons,0.353760446,232,359
Ish Smith,0.352785146,488,754
Archie Goodwin,0.352564103,202,312
Derrick Brown,0.352422907,147,227
Michael Kidd-Gilchrist,0.352112676,230,355
Jalen Jones,0.351851852,175,270
MarShon Brooks,0.350993377,196,302
O.J. Mayo,0.350318471,204,314
Jerami Grant,0.35,208,320
Noah Vonleh,0.349358974,203,312
Jimmer Fredette,0.347607053,259,397
Dewayne Dedmon,0.34729064,265,406
Kristaps Porzingis,0.347031963,143,219
Wayne Ellington,0.345679012,371,567
Anthony Bennett,0.345454545,180,275
Ben Gordon,0.343949045,206,314
Sean Kilpatrick,0.342857143,299,455
Ronny Turiaf,0.342776204,232,353
Buddy Hield,0.342465753,144,219
Troy Murphy,0.342342342,146,222
Jose Calderon,0.342007435,354,538
Devin Harris,0.341959335,356,541
Tyus Jones,0.340909091,145,220
Solomon Jones,0.340782123,236,358
Justin Anderson,0.340740741,178,270
Evan Fournier,0.340659341,240,364
Chris Quinn,0.34057971,182,276
Jordan McRae,0.340501792,184,279
Thaddeus Young,0.340225564,351,532
Jordan Crawford,0.339912281,301,456
Jarell Martin,0.338028169,141,213
Henry Ellenson,0.337962963,143,216
Jabari Parker,0.337662338,204,308
Ben McLemore,0.337579618,208,314
Jannero Pargo,0.337539432,210,317
Jeremy Evans,0.337047354,238,359
Chase Budinger,0.336734694,260,392
Christian Wood,0.336363636,146,220
Randy Foye,0.335748792,275,414
Jarrett Jack,0.335195531,357,537
Jan Vesely,0.33490566,141,212
Jerel McNeal,0.334801762,151,227
Hakim Warrick,0.334586466,177,266
Luke Babbitt,0.334170854,265,398
Will Bynum,0.334164589,267,401
John Jenkins,0.334134615,277,416
Adreian Payne,0.333333333,154,231
Andray Blatche,0.333333333,150,225
Cristiano Felicio,0.333333333,140,210
Ike Diogu,0.333333333,148,222
Jahlil Okafor,0.333333333,178,267
Melvin Ely,0.331838565,149,223
JJ Hickson,0.331619537,260,389
Andre Drummond,0.331428571,234,350
Kendall Marshall,0.330882353,182,272
Bobby Portis,0.330708661,170,254
Rashad Vaughn,0.330357143,150,224
Karl-Anthony Towns,0.330232558,144,215
Willie Cauley-Stein,0.330188679,142,212
Nick Young,0.329853862,321,479
Vladimir Radmanovic,0.328888889,151,225
Willy Hernangomez,0.328571429,141,210
Shawne Williams,0.328125,172,256
Corey Maggette,0.327433628,152,226
Ronnie Price,0.327411168,265,394
Aaron Gordon,0.327137546,181,269
Gorgui Dieng,0.325657895,205,304
Josh McRoberts,0.325221239,305,452
Sundiata Gaines,0.324921136,214,317
Alexey Shved,0.324675325,156,231
Sebastian Telfair,0.324503311,204,302
Chris McCullough,0.323275862,157,232
Kevin Seraphin,0.322884013,216,319
Josh Howard,0.322727273,149,220
Chris Kaman,0.32247557,208,307
Alex Len,0.322259136,204,301
Arron Afflalo,0.32079646,307,452
Glenn Robinson III,0.320512821,212,312
Anthony Randolph,0.319548872,181,266
T.J. Warren,0.319230769,177,260
Larry Owens,0.31884058,141,207
Henry Sims,0.31880109,250,367
Arinze Onuaku,0.31838565,152,223
Alonzo Gee,0.316479401,365,534
Charlie Villanueva,0.314935065,211,308
Bismack Biyombo,0.314578005,268,391
Anthony Brown,0.314393939,181,264
Trey Burke,0.313888889,247,360
Thomas Robinson,0.313186813,250,364
Mustafa Shakur,0.3125,132,192
Langston Galloway,0.312292359,207,301
Andrew Wiggins,0.311538462,179,260
Acie Law,0.31092437,164,238
Brian Cook,0.310231023,209,303
Lance Thomas,0.31002331,296,429
Carl Landry,0.308641975,280,405
Nik Stauskas,0.308176101,220,318
Cartier Martin,0.30806846,283,409
Joel Embiid,0.306569343,190,274
Ramon Sessions,0.305410122,398,573
JaKarr Sampson,0.304487179,217,312
Quincy Miller,0.304347826,192,276
Tyrus Thomas,0.303370787,186,267
DaJuan Summers,0.302325581,180,258
Quincy Acy,0.301507538,278,398
Nikola Vucevic,0.30075188,279,399
Wayne Selden,0.3,154,220
Matt Carroll,0.299539171,152,217
Luke Ridnour,0.298701299,216,308
Justin Harper,0.298165138,153,218
Rodney Stuckey,0.295454545,248,352
Tyreke Evans,0.295454545,341,484
Marquese Chriss,0.295238095,148,210
Dominic McGuire,0.294444444,254,360
Nikola Pekovic,0.294314381,211,299
Brandon Knight,0.29424307,331,469
Adonis Thomas,0.293859649,161,228
Richaun Holmes,0.292792793,157,222
Jeff Adrien,0.291666667,255,360
Elfrid Payton,0.2909699,212,299
Dan Gadzuric,0.290909091,156,220
Devin Booker,0.287735849,151,212
Tony Wroten,0.287553648,166,233
Nerlens Noel,0.286173633,222,311
Gerald Henderson,0.284916201,256,358
Kyle O'Quinn,0.284507042,254,355
Andris Biedrins,0.284444444,161,225
Zach LaVine,0.283464567,182,254
Yogi Ferrell,0.283105023,157,219
Larry Nance Jr.,0.282868526,180,251
Hollis Thompson,0.282051282,224,312
Mario Hezonja,0.281818182,158,220
Kwame Brown,0.280952381,151,210
D'Angelo Russell,0.279411765,147,204
Andrea Bargnani,0.278145695,218,302
Jordan Clarkson,0.273972603,212,292
Andrew Harrison,0.268774704,185,253
Travis Outlaw,0.264705882,225,306
Robert Sacre,0.264150943,156,212
Julius Randle,0.262295082,180,244
Ben Uzoh,0.260204082,145,196
Shaquille Harrison,0.257281553,153,206
Darko Milicic,0.255924171,157,211
Andrew Nicholson,0.255474453,204,274
Terrence Williams,0.252559727,219,293
Manny Harris,0.240384615,158,208
DeSagana Diop,0.23943662,162,213
Jason Maxiell,0.23046875,197,256
Jonny Flynn,0.213930348,158,201
